Data from E:\petalosbyr.txt 11/10/2023  12:08:23 p.m.  


number of specimens,  116 
number of landmarks,  22 
number of dimensions,  2 
number of non-zero PCs,  40 


Procrustes output
,,X 1 ,Y 1 ,X 2 ,Y 2 ,X 3 ,Y 3 ,X 4 ,Y 4 ,X 5 ,Y 5 ,X 6 ,Y 6 ,X 7 ,Y 7 ,X 8 ,Y 8 ,X 9 ,Y 9 ,X 10 ,Y 10 ,X 11 ,Y 11 ,X 12 ,Y 12 ,X 13 ,Y 13 ,X 14 ,Y 14 ,X 15 ,Y 15 ,X 16 ,Y 16 ,X 17 ,Y 17 ,X 18 ,Y 18 ,X 19 ,Y 19 ,X 20 ,Y 20 ,X 21 ,Y 21 ,X 22 ,Y 22 ,
 11           ,B11          , 1.46757530870376E-02 , 0.35191292810981 ,-4.21684424682187E-02 , 0.289813035847758 ,-6.41583097810821E-02 , 0.22749066475623 ,-7.58270696559797E-02 , 0.163251664901343 ,-8.16304451858589E-02 , 9.97463707834335E-02 ,-7.70282190516557E-02 , 3.54806258871173E-02 ,-6.78012807634542E-02 ,-2.91230967567211E-02 ,-5.39496309100233E-02 ,-9.40647976566559E-02 ,-4.00979807622079E-02 ,-0.159006498302304 ,-2.73180140988924E-02 ,-0.222707526756931 ,-2.04034320148336E-02 ,-0.287142260379816 ,-1.47295221418435E-02 ,-0.352648677761537 ,-3.06076226694593E-03 ,-0.28840967790665 , 6.21114715764369E-03 ,-0.225157867290098 , 2.13484409272516E-02 ,-0.161172350936568 , 4.34228027405674E-02 ,-9.76938018801364E-02 , 6.43409866090283E-02 ,-3.41307580489168E-02 , 7.82376079132805E-02 , 0.028783074840162 , 8.87501898032259E-02 , 9.31065689211655E-02 , 9.21567149028459E-02 , 0.155624674075076 , 8.87951612339984E-02 , 0.220962102435844 , 7.02343047261169E-02 , 0.285085603118397 ,
 12           ,B12          , 1.87676722633607E-02 , 0.350947753739022 ,-4.35550308354116E-02 , 0.290546229519755 ,-6.60687952405946E-02 , 0.226167866691157 ,-7.81187277957523E-02 , 0.163041685063829 ,-0.081069474236925 , 9.90065118065803E-02 ,-7.60584332148392E-02 , 3.41759709117591E-02 ,-6.63841750590326E-02 ,-2.99716677234858E-02 ,-5.44351207260737E-02 ,-9.43465542311124E-02 ,-3.79364731955847E-02 ,-0.159175936567739 ,-2.71248169231231E-02 ,-0.223437198858099 ,-2.08627535951952E-02 ,-0.287243965628614 ,-2.2029335426696E-03 ,-0.353437993954277 , 1.99883523242412E-03 ,-0.288379046291647 , 2.6747852153694E-03 ,-0.224116625133937 , 1.23362973761088E-02 ,-0.161900593694725 , 3.62147080233247E-02 ,-9.53610586532441E-02 , 5.61128041055501E-02 ,-3.41676427520644E-02 , 7.28259535414324E-02 , 0.029641441443994 , 8.72643064910083E-02 , 9.36777732594378E-02 , 0.09476464615779 , 0.157258450968762 , 9.19147773485868E-02 , 0.22072434562155 , 7.89419486102462E-02 , 0.286350254463098 ,
 13           ,B13          , 2.28922454211724E-02 , 0.34890672491288 ,-4.40556772793746E-02 , 0.288603950218575 ,-7.11535236308129E-02 , 0.226567477432256 ,-8.61231155997433E-02 , 0.162894317306822 ,-9.10820303477245E-02 , 9.98946790471445E-02 ,-8.72335307165559E-02 , 3.54028282807907E-02 ,-7.78021401851295E-02 ,-2.82228675251342E-02 ,-6.06221233182188E-02 ,-0.09218567099533 ,-4.23833184190775E-02 ,-0.157303579570771 ,-2.52033015521668E-02 ,-0.221266383040967 ,-2.01996970785924E-02 ,-0.284699445763655 ,-1.08164648093989E-02 ,-0.349432087886913 , 7.84129408184451E-04 ,-0.286721399532083 , 1.34916702173757E-02 ,-0.224058869188081 , 2.40334761284541E-02 ,-0.16019307597941 , 4.44896427360158E-02 ,-9.78676535396488E-02 , 6.38870212884771E-02 ,-0.034387126520321 , 8.21292949985325E-02 , 2.80346124553414E-02 , 9.59437821136221E-02 , 9.06489842742708E-02 , 9.65230688145799E-02 , 0.154948202208792 , 9.37333577527557E-02 , 0.218284948109871 , 7.87672340576256E-02 , 0.28215143529557 ,
 14           ,B14          , 1.16223969705376E-02 , 0.351119485971569 ,-0.050048126412378 , 0.290038621082647 ,-7.37689387510116E-02 , 0.227404020303485 ,-8.09833845884747E-02 , 0.166209259260509 ,-8.08100754639278E-02 , 0.101265578470303 ,-7.50507171976309E-02 , 3.52401117788365E-02 ,-6.64078674217728E-02 ,-2.78664393030778E-02 ,-4.88273390937174E-02 ,-9.27038476489272E-02 ,-3.27967348815807E-02 ,-0.159559318376259 ,-2.66046620257915E-02 ,-0.223350365073558 ,-2.71158485675346E-02 ,-0.28584326920656 ,-0.025825329814749 ,-0.35100330708372 ,-7.4742095309113E-03 ,-0.286169710775059 , 7.99341929427136E-03 ,-0.224255029813083 , 2.83626022224576E-02 ,-0.160971357671247 , 4.98489947788824E-02 ,-9.79040426163639E-02 , 6.75510433862738E-02 ,-3.64220759301091E-02 , 8.10006098299736E-02 , 2.70425291477846E-02 , 9.01976941099819E-02 , 9.24897726173175E-02 , 9.49613628154166E-02 , 0.153000038358681 , 9.25536341715266E-02 , 0.218376433373701 , 7.16214761701581E-02 , 0.283862913133131 ,
 15           ,B15          , 0.014580513931775 , 0.352975280893543 ,-4.09441380137985E-02 , 0.291557374379536 ,-6.66828272577133E-02 , 0.228390732533553 ,-7.87254520118336E-02 , 0.163890210366528 ,-8.15262107989869E-02 , 9.96417733490878E-02 ,-0.070519748407572 , 3.52007946703805E-02 ,-6.17959636219578E-02 ,-2.90178706029008E-02 ,-4.50828076454197E-02 ,-0.094014632753355 ,-2.96221472758033E-02 ,-0.160041576560679 ,-2.08983622039367E-02 ,-0.224260241861839 ,-2.25577823313159E-02 ,-0.288619835568052 ,-1.83993521847983E-02 ,-0.352393874086239 ,-5.32654517342517E-03 ,-0.28914584729564 , 3.29206360137261E-03 ,-0.224311855062295 , 1.73950525837462E-02 ,-0.162316323620244 , 3.85683871885643E-02 ,-9.87050550191656E-02 , 5.74590441875818E-02 ,-3.48714730126613E-02 , 7.17843465475027E-02 , 2.94067357489377E-02 , 8.61096489074236E-02 , 9.36849445105366E-02 , 9.22232669851258E-02 , 0.156458572801882 , 8.69234981509554E-02 , 0.22034376772259 , 7.37455148425135E-02 , 0.286148398466497 ,
 16           ,B16          , 1.35848599368188E-02 , 0.354201435967445 ,-3.38389071145499E-02 , 0.291697822200052 ,-6.02999158178755E-02 , 0.227276276447883 ,-7.08342852744523E-02 , 0.163339997753534 ,-7.60640790898834E-02 , 9.80614356111229E-02 ,-0.07173272439096 , 3.48788803870927E-02 ,-6.74013699436797E-02 ,-2.83036747732609E-02 ,-5.16684051594245E-02 ,-9.55001689641248E-02 ,-3.93737308052885E-02 ,-0.158440090533423 ,-2.78844268862505E-02 ,-0.22456275787669 ,-1.85169529586797E-02 ,-0.290148511640031 ,-8.08856431885681E-03 ,-0.35600272225548 ,-2.32185711146567E-03 ,-0.288602329806282 , 6.09068210200069E-03 ,-0.22412913746833 , 1.74175098583312E-02 ,-0.161522230717337 , 3.56467422423024E-02 ,-9.84042336474719E-02 , 5.57422600252671E-02 ,-3.23719477194224E-02 , 7.23736639260299E-02 , 2.88926754561549E-02 , 0.084237405137997 , 9.36214127655771E-02 , 8.68084550030378E-02 , 0.157315058056838 , 8.51358442545046E-02 , 0.222082530132018 , 7.09877963850763E-02 , 0.286620280624135 ,
 17           ,B17          , 3.33646892896009E-03 , 0.352994620861233 ,-3.70053948675698E-02 , 0.289514011429979 ,-6.13910200334636E-02 , 0.226448502722628 ,-7.23235921673994E-02 , 0.161816930340026 ,-7.62686273063496E-02 , 9.86445012712897E-02 ,-0.074608223686201 , 3.48195458332945E-02 ,-6.60907884186761E-02 ,-2.86673542002906E-02 ,-5.34805182806982E-02 ,-9.60395384372274E-02 ,-0.036984963392705 ,-0.159318887867348 ,-2.53652755750597E-02 ,-0.225439479152371 ,-2.25837843506061E-02 ,-0.289394940179489 ,-1.84201948266291E-02 ,-0.351238730976818 ,-4.25486455345038E-03 ,-0.28811976224135 , 6.54720226469458E-03 ,-0.224609277494872 , 1.95914443550863E-02 ,-0.161359803379975 , 4.04833009916689E-02 ,-9.90238666028877E-02 , 6.06455854246554E-02 ,-3.31941612646707E-02 , 7.71835963176901E-02 , 3.07848847486718E-02 , 0.089237256361081 , 9.52859517836641E-02 , 9.19306982747853E-02 , 0.157467798563886 , 9.13913825640918E-02 , 0.221162248654272 , 6.84303119760947E-02 , 0.287466805588353 ,
 18           ,B18          ,-6.75042791891937E-03 , 0.293512377263391 ,-3.53558059485879E-02 , 0.234114702368177 ,-5.72822444774425E-02 , 0.173679700684775 ,-6.15710659577822E-02 , 0.109365337855592 ,-7.25388269784405E-02 , 4.60883015602402E-02 ,-7.12618656686128E-02 ,-1.90905002393478E-02 ,-0.065532278024909 ,-8.49608532310609E-02 ,-5.98026903812052E-02 ,-0.150831206222774 ,-6.29783554447582E-02 ,-0.215318457084592 ,-6.63269079927303E-02 ,-0.280918864187851 ,-6.39367902661157E-02 ,-0.346270554020073 ,-4.61172022207195E-02 ,-0.282917688017113 ,-2.41907634375099E-02 ,-0.222482686373216 ,-5.60379453188475E-03 ,-0.161529021315473 , 2.63410531210132E-02 ,-0.102650009794601 , 5.93990574450531E-02 ,-4.39438863458677E-02 , 8.68912787640751E-02 , 1.56266763671296E-02 , 0.105651135487484 , 7.76934981355191E-02 , 0.119785478274083 , 0.139338714091527 , 0.119794561238331 , 0.205457784823483 , 0.112951817138335 , 0.271501025593475 , 6.84346377812431E-02 , 0.344535608088663 ,
 19           ,B19          , 3.08720878835379E-02 , 0.317319430746846 ,-2.42563536559238E-02 , 0.260986083032765 ,-4.91667710823015E-02 , 0.201428432457394 ,-6.76018975200521E-02 , 0.141179859530778 ,-7.41656574214736E-02 , 7.96645961064118E-02 ,-7.53333415583654E-02 , 1.75735642669141E-02 ,-7.00257348975585E-02 ,-0.045208389412475 ,-6.14804827553877E-02 ,-0.10833580438885 ,-4.76276237096828E-02 ,-0.234245173070513 ,-5.10688920399542E-02 ,-0.297185112773236 ,-4.67253467189303E-02 ,-0.358772697777868 ,-3.04486505384462E-02 ,-0.298293817490379 ,-1.09343088506988E-02 ,-0.238160398257149 , 6.42160255388281E-03 ,-0.177796671905774 , 3.34904502634263E-02 ,-0.118469328448548 , 5.51632222084401E-02 ,-5.85662165761909E-02 , 7.14399183630249E-02 , 1.91266346857088E-03 , 8.55581842862426E-02 , 6.26218511169325E-02 , 9.63236510088109E-02 , 0.122597284569556 , 9.65272738318192E-02 , 0.185882685326538 , 0.083665161149216 , 0.249470714781931 , 4.93735092003736E-02 , 0.294396444696346 ,
 20           ,B20          , 3.16590148965093E-03 , 0.353299700543769 ,-0.046376951694362 , 0.290976665879442 ,-6.70847071816123E-02 , 0.227524276440065 ,-7.16443854530009E-02 , 0.162931967576141 ,-7.27449275479318E-02 , 9.94959053222847E-02 ,-0.06807768193719 , 3.49112795531263E-02 ,-5.99503400142771E-02 ,-2.96704646615402E-02 ,-4.60561705216436E-02 ,-9.42474070493332E-02 ,-3.21620010292487E-02 ,-0.158824349150527 ,-2.86471603378925E-02 ,-0.224563300684174 ,-2.85943370908865E-02 ,-0.287998402515478 ,-2.50804571086808E-02 ,-0.352583988707427 ,-7.83279793384019E-03 ,-0.289134480535943 , 9.41486124100039E-03 ,-0.225684972364458 , 2.08947324235691E-02 ,-0.161086900677911 , 4.27558532527563E-02 ,-9.76335508159823E-02 , 0.061156878056133 ,-0.034183082221708 , 7.72521320252275E-02 , 2.81120998984502E-02 , 8.98844081271817E-02 , 9.38644973494861E-02 , 9.32916814791847E-02 , 0.157302480448922 , 8.86253962912329E-02 , 0.220733740589545 , 6.78100734646293E-02 , 0.28645828578325 ,
